,Humitdity,Temp,Heat index,Lux
0,68.8,24.8,76.64,25.13
1,69.2,24.8,76.64,25.14
2,69.0,24.8,76.64,25.14
3,68.7,25.0,77.0,25.35
4,68.0,25.1,77.18,25.44
5,67.9,25.1,77.18,25.44
6,67.9,25.1,77.18,25.44
7,68.7,25.1,77.18,25.46
8,68.9,25.2,77.36,25.57
9,68.9,25.2,77.36,25.57
10,69.1,25.3,77.54,25.69
11,69.3,25.4,77.72,25.8
12,69.1,25.5,77.9,25.91
13,69.0,25.5,77.9,25.91
14,69.2,25.6,78.08,26.02
15,69.4,25.6,78.08,26.03
16,69.6,25.6,78.08,26.03
17,69.7,25.6,78.08,26.04
18,69.7,25.6,78.08,26.04
19,69.6,25.7,78.26,26.87
20,69.6,25.7,78.26,26.87
21,70.1,25.7,78.26,26.88
22,70.5,25.7,78.26,26.89
23,70.1,25.7,78.26,26.88
24,70.0,25.7,78.26,26.87
25,70.3,25.7,78.26,26.88
26,70.2,25.7,78.26,26.88
27,69.9,25.8,78.44,27.01
28,69.9,25.8,78.44,27.01
29,69.4,25.8,78.44,27.0
30,69.2,25.8,78.44,26.99
31,69.0,25.8,78.44,26.98
32,68.5,25.8,78.44,26.97
33,68.7,25.8,78.44,26.98
34,68.5,25.8,78.44,26.97
35,67.2,25.9,78.62,27.06
36,65.6,25.8,78.44,26.89
37,63.9,25.8,78.44,26.1
38,63.8,25.6,78.08,25.88
39,65.5,25.6,78.08,25.93
40,66.9,25.6,78.08,25.96
41,66.6,25.6,78.08,25.95
42,65.2,25.7,78.26,26.03
43,64.5,25.6,78.08,25.9
44,63.7,25.6,78.08,25.88
45,63.5,25.5,77.9,25.76
46,62.7,25.5,77.9,25.74
47,61.8,25.5,77.9,25.72
48,61.7,25.3,77.54,25.5
49,62.1,25.3,77.54,25.51
50,62.2,25.3,77.54,25.51
51,63.4,25.3,77.54,25.54
52,65.1,25.3,77.54,25.59
53,66.4,25.4,77.72,25.73
54,67.1,25.5,77.9,25.86
55,68.3,25.5,77.9,25.89
56,69.4,25.5,77.9,25.92
57,70.0,25.5,77.9,25.93
58,70.7,25.6,78.08,26.06
59,71.6,25.7,78.26,26.91
60,71.5,25.8,78.44,27.05
61,70.6,25.7,78.26,26.89
62,68.6,25.7,78.26,26.84
63,67.7,25.6,78.08,25.98
64,68.6,25.5,77.9,25.9
65,69.5,25.5,77.9,25.92
66,70.8,25.5,77.9,25.95
67,71.6,25.5,77.9,25.97
68,72.4,25.5,77.9,26.0
69,73.0,25.5,77.9,26.01
70,72.6,25.5,77.9,26.0
71,70.3,25.5,77.9,25.94
72,67.8,25.3,77.54,25.66
73,67.0,25.2,77.36,25.52
74,68.5,25.2,77.36,25.56
75,69.6,25.2,77.36,25.59
76,70.8,25.2,77.36,25.62
77,71.8,25.3,77.54,25.76
78,72.4,25.3,77.54,25.78
79,73.3,25.4,77.72,25.91
80,74.0,25.4,77.72,25.93
81,74.4,25.4,77.72,25.94
82,75.3,25.5,77.9,26.07
83,75.6,25.5,77.9,26.08
84,75.9,25.5,77.9,26.09
85,76.1,25.5,77.9,26.09
86,76.2,25.6,78.08,26.85
