Time,Humidity,Temprature,HI,Lux
19:45,77.3,26.2,79.16,27.93,
19:45,77.7,26.2,79.16,27.95,
19:46,78.2,26.2,79.16,27.97,
19:48,79.7,26.2,79.16,28.04,
19:48,79.9,26.2,79.16,28.05,
19:49,79.9,26.2,79.16,28.05,
19:49,80.2,26.3,79.34,28.27,
19:45,77.3,26.2,79.16,27.93,
19:45,77.7,26.2,79.16,27.95,
19:46,78.2,26.2,79.16,27.97,
19:48,79.7,26.2,79.16,28.04,
19:48,79.9,26.2,79.16,28.05,
19:49,79.9,26.2,79.16,28.05,
19:49,80.2,26.3,79.34,28.27,
19:45,77.3,26.2,79.16,27.93,
19:45,77.7,26.2,79.16,27.95,
19:46,78.2,26.2,79.16,27.97,
19:48,79.7,26.2,79.16,28.04,
19:48,79.9,26.2,79.16,28.05,
19:49,79.9,26.2,79.16,28.05,
19:49,80.2,26.3,79.34,28.27,
19:45,77.3,26.2,79.16,27.93,
19:45,77.7,26.2,79.16,27.95,
19:46,78.2,26.2,79.16,27.97,
19:48,79.7,26.2,79.16,28.04,
19:48,79.9,26.2,79.16,28.05,
19:49,79.9,26.2,79.16,28.05,
19:49,80.2,26.3,79.34,28.27,
